Date,Trial No.,Time (min),Forced,,,,Correct Choice,,,,Behavior,,,,,,,,,,Success %,Duplicate Values (Correct),Total Number of behavior,Daily Success%,Comments,,,,Day,Daily Success %,,,,,,,,,,,,,
2/2/23,1,,2,4,1,6,5,7,8,3,2,8,7,5,8,,,,,,60%,3,5,,,,,,1,,,,,,How it works:,,,,,,,,
,2,,4,8,3,7,1,2,6,5,1,6,1,8,2,5,,,,,67%,4,6,,,,,,2,,,,,,,,,,,,,,
,3,,6,2,5,1,7,8,4,3,7,8,3,7,1,3,,,,,50%,3,6,,,,,,3,,,,,,,,,,,,,,
3-Feb,4,,5,2,4,6,7,8,3,1,1-Jan,8,2,5,7,3,,,,,67%,4,6,,,,,,4,,,,,,3. Duplicate/Total number of values  = success ratio,,,,,,,,
,5,,8,5,2,4,7,6,1,3,1,7,6,3,,,,,,,100%,4,4,,,,,,5,,,,,,,,,,,,,,
,6,,6,4,1,8,3,2,5,7,4,2,1,5,8,5,2,6,3,2,30%,3,10,,,,,,6,,,,,,,,,,,,,,
,7,,5,8,7,2,4,6,1,3,6,1,6,5,2,7,3,8,4,,44%,4,9,,,,,,7,,,,,,,,,,,,,,
,8,,3,1,4,8,6,2,5,7,3,2,1,8,5,2,6,1,5,7,40%,4,10,,,,,,8,,,,,,,,,,,,,,
7-Feb,9,,6,3,1,7,5,4,2,8,5,2,6,4,4,8,,,,,67%,4,6,,,,,,9,,,,,,,,,,,,,,
,10,,7,3,8,2,4,6,1,5,5,6,4,1,,,,,,,100%,4,4,,,,,,10,,,,,,,,,,,,,,
,11,,4,7,2,8,3,6,5,1,5,1,6,3,,,,,,,100%,4,4,,,,,,11,,,,,,,,,,,,,,
,12,,3,6,4,2,5,7,8,1,8,3,1,5,1,7,,,,,67%,4,6,,,,,,12,,,,,,,,,,,,,,
,13,,1,6,2,4,7,5,8,3,1,7,1,7,3,1,6,2,8,6,30%,3,10,,,,,,13,,,,,,,,,,,,,,
8-Feb,14,,6,8,3,1,7,2,4,5,7,5,4,3,2,,,,,,80%,4,5,,,,,,14,,,,,,,,,,,,,,
,15,,7,2,8,3,5,6,1,4,2,7,3,1,6,5,1,5,8,4,40%,4,10,,,,,,15,,,,,,,,,,,,,,
,16,,4,8,2,6,3,1,5,7,1,5,1,4,6,5,7,1,8,2,30%,3,10,,,,,,16,,,,,,,,,,,,,,
,17,,8,2,5,1,4,3,7,6,2,8,1,7,5,6,7,8,2,6,20%,2,10,,,,,,17,,,,,,,,,,,,,,
,18,,4,2,8,6,5,3,1,7,7,1,4,8,2,2,5,1,,,38%,3,8,,,,,,18,,,,,,,,,,,,,,
,19,,3,8,6,1,7,4,5,2,1,4,2,7,2,5,,,,,67%,4,6,,,,,,19,,,,,,,,,,,,,,
,20,,6,4,2,7,3,1,5,8,1,2,6,8,1,5,7,1,3,,44%,4,9,,,,,,20,,,,,,,,,,,,,,
9-Feb,21,,3,5,1,6,7,2,8,4,8,4,2,5,3,7,,,,,67%,4,6,,,,,,,,,,,,,,,,,,,,
,22,,7,2,4,6,3,1,5,8,1,8,5,,,,,,,,100%,3,3,,,,,,,,,,,,,,,,,,,,
,23,,8,6,3,7,4,2,5,1,5,4,2,1,,,,,,,100%,4,4,,,,,,,,,,,,,,,,,,,,
,24,,5,4,1,3,7,2,6,8,2,8,1,6,4,7,,,,,67%,4,6,,,,,,,,,,,,,,,,,,,,
,25,,2,7,4,8,3,6,5,1,2,1,5,3,6,,,,,,80%,4,5,,,,,,,,,,,,,,,,,,,,
,26,,8,3,1,5,7,2,4,6,2,8,4,8,1,5,7,2,,,38%,3,8,,,,,,,,,,,,,,,,,,,,
,27,,7,5,3,8,2,4,6,1,4,1,6,2,,,,,,,100%,4,4,,,,,,,,,,,,,,,,,,,,
,28,,5,1,7,2,3,8,4,6,8,3,4,8,5,6,,,,,67%,4,6,,,,,,,,,,,,,,,,,,,,
,29,,8,2,6,1,5,4,7,3,5,3,2,8,6,8,1,5,7,2,30%,3,10,,,,,,,,,,,,,,,,,,,,
,30,,6,8,3,7,4,2,5,1,1,4,2,7,3,2,8,5,,,50%,4,8,,,,,,,,,,,,,,,,,,,,
,31,,8,3,7,5,1,4,2,6,1,6,4,2,,,,,,,100%,4,4,,,,,,,,,,,,,,,,,,,,
,32,,4,8,6,1,5,7,3,2,5,2,7,3,,,,,,,100%,4,4,,,,,,,,,,,,,,,,,,,,
,33,,7,5,3,6,2,4,8,1,7,2,5,1,8,4,,,,,67%,4,6,,,,,,,,,,,,,,,,,,,,
,34,,6,3,8,7,1,4,5,2,1,5,8,3,6,1,5,2,6,1,30%,3,10,,,,,,,,,,,,,,,,,,,,
,35,,1,3,7,2,4,6,5,8,8,3,6,1,2,4,,,,,50%,3,6,,,,,,,,,,,,,,,,,,,,
,36,,2,8,6,4,7,5,1,3,1,7,5,4,2,4,1,7,5,3,40%,4,10,,,,,,,,,,,,,,,,,,,,
10-Feb,37,,7,2,4,1,5,6,3,8,8,3,2,6,5,,,,,,80%,4,5,,,,,,,,,,,,,,,,,,,,
,38,,8,6,1,4,3,7,5,2,2,7,5,7,3,,,,,,80%,4,5,,,,,,,,,,,,,,,,,,,,
,39,,6,4,1,5,8,3,2,7,8,7,2,4,1,3,,,,,67%,4,6,,,,,,,,,,,,,,,,,,,,
,40,,5,8,3,7,4,2,6,1,1,4,6,3,5,8,2,,,,57%,4,7,,,,,,,,,,,,,,,,,,,,
,41,,5,2,8,3,1,7,4,6,1,7,2,5,3,1,4,8,6,,44%,4,9,,,,,,,,,,,,,,,,,,,,
,42,,1,3,6,8,2,4,5,7,7,1,3,2,8,5,2,4,,,50%,4,8,,,,,,,,,,,,,,,,,,,,
,43,,7,3,8,4,5,2,1,6,7,1,5,2,6,,,,,,80%,4,5,,,,,,,,,,,,,,,,,,,,
,44,,5,8,1,6,3,7,4,2,2,4,7,5,1,7,8,3,,,50%,4,8,,,,,,,,,,,,,,,,,,,,
,45,,3,5,1,7,4,2,6,8,4,2,8,5,6,,,,,,80%,4,5,,,,,,,,,,,,,,,,,,,,
,46,,5,3,7,6,2,1,8,4,1,8,6,3,4,5,2,,,,57%,4,7,,,,,,,,,,,,,,,,,,,,
,47,,6,2,7,1,5,3,8,4,7,3,5,2,4,6,8,,,,57%,4,7,,,,,,,,,,,,,,,,,,,,
,48,,1,7,4,6,2,3,8,5,2,5,3,8,,,,,,,100%,4,4,,,,,,,,,,,,,,,,,,,,
,49,,2,5,3,8,1,7,4,6,4,1,7,6,,,,,,,100%,4,4,,,,,,,,,,,,,,,,,,,,
13-Feb,50,,2,4,7,1,5,3,6,8,5,3,6,5,2,7,8,,,,57%,4,7,,,,,,,,,,,,,,,,,,,,
,51,,5,2,6,4,8,7,1,3,3,7,1,5,2,8,,,,,67%,4,6,,,,,,,,,,,,,,,,,,,,
,52,,3,6,2,7,1,8,4,5,1,5,3,4,8,,,,,,80%,4,5,,,,,,,,,,,,,,,,,,,,
,53,,6,3,8,2,4,5,1,7,1,4,2,3,5,4,7,,,,57%,4,7,,,,,,,,,,,,,,,,,,,,
,54,,2,8,3,6,4,7,5,1,1,4,7,5,,,,,,,100%,4,4,,,,,,,,,,,,,,,,,,,,
,55,,3,1,5,8,4,7,2,6,2,7,4,1,7,2,6,,,,57%,4,7,,,,,,,,,,,,,,,,,,,,
,56,,6,4,1,8,3,7,5,2,5,2,7,4,6,3,,,,,67%,4,6,,,,,,,,,,,,,,,,,,,,
,57,,5,1,3,6,4,8,2,7,8,2,7,4,,,,,,,100%,4,4,,,,,,,,,,,,,,,,,,,,
,58,,6,3,8,1,7,4,2,5,5,2,4,7,,,,,,,100%,4,4,,,,,,,,,,,,,,,,,,,,
,59,,3,1,8,4,5,2,6,7,2,5,7,8,6,,,,,,80%,4,5,,,,,,,,,,,,,,,,,,,,
,60,,4,2,8,3,1,7,6,5,6,1,4,7,5,,,,,,80%,4,5,,,,,,,,,,,,,,,,,,,,
,61,,3,7,5,2,1,4,6,8,8,6,4,1,,,,,,,100%,4,4,,,,,,,,,,,,,,,,,,,,
,62,,2,5,1,6,8,7,4,3,8,3,1,7,4,,,,,,80%,4,5,,,,,,,,,,,,,,,,,,,,
,63,,6,2,5,3,7,4,8,1,6,1,4,7,1,3,8,,,,57%,4,7,,,,,,,,,,,,,,,,,,,,
,64,,3,1,4,7,5,6,2,8,2,5,8,2,6,,,,,,80%,4,5,,,,,,,,,,,,,,,,,,,,
,65,,6,1,8,4,3,7,5,2,5,2,7,3,,,,,,,100%,4,4,,,,,,,,,,,,,,,,,,,,
,66,,6,3,5,1,8,2,4,7,4,7,2,8,,,,,,,100%,4,4,,,,,,,,,,,,,,,,,,,,
,67,,6,2,4,7,1,3,5,8,1,3,6,8,2,5,,,,,67%,4,6,,,,,,,,,,,,,,,,,,,,
14-Feb,68,,8,3,7,5,1,4,2,6,4,2,1,6,,,,,,,100%,4,4,,,,,,,,,,,,,,,,,,,,
,69,,3,8,2,6,4,7,5,1,4,1,5,7,,,,,,,100%,4,4,,,,,,,,,,,,,,,,,,,,
,70,,6,2,7,1,4,3,8,5,5,3,5,8,6,4,,,,,67%,4,6,,,,,,,,,,,,,,,,,,,,
,71,,4,7,2,5,8,3,1,6,1,8,6,3,,,,,,,100%,4,4,,,,,,,,,,,,,,,,,,,,
,72,,2,6,3,1,7,8,4,5,5,8,4,7,,,,,,,100%,4,4,,,,,,,,,,,,,,,,,,,,
,73,,1,8,5,7,3,6,2,4,3,1,6,4,2,,,,,,80%,4,5,,,,,,,,,,,,,,,,,,,,
,74,,6,3,8,4,2,1,5,7,5,2,7,6,8,2,1,,,,57%,4,7,,,,,,,,,,,,,,,,,,,,
,75,,8,3,6,2,5,7,1,4,5,4,1,7,,,,,,,100%,4,4,,,,,,,,,,,,,,,,,,,,
,76,,1,6,2,4,3,5,7,8,8,1,5,4,3,7,,,,,67%,4,6,,,,,,,,,,,,,,,,,,,,
,77,,3,5,7,2,6,1,8,4,6,4,1,8,,,,,,,100%,4,4,,,,,,,,,,,,,,,,,,,,
,78,,3,8,2,4,1,6,7,5,1,6,5,8,7,,,,,,80%,4,5,,,,,,,,,,,,,,,,,,,,
,79,,8,1,5,3,4,6,2,7,7,6,2,4,,,,,,,100%,4,4,,,,,,,,,,,,,,,,,,,,
,80,,2,5,3,6,8,1,4,7,8,1,7,4,,,,,,,100%,4,4,,,,,,,,,,,,,,,,,,,,
,81,,8,2,7,4,1,5,3,6,1,6,3,5,,,,,,,100%,4,4,,,,,,,,,,,,,,,,,,,,
,82,,7,5,8,3,2,6,1,4,7,2,6,4,1,,,,,,80%,4,5,,,,,,,,,,,,,,,,,,,,
,83,,1,6,3,8,7,5,4,2,5,2,7,4,,,,,,,100%,4,4,,,,,,,,,,,,,,,,,,,,
,84,,5,1,3,7,4,2,8,6,6,2,8,6,1,7,4,,,,57%,4,7,,,,,,,,,,,,,,,,,,,,
,85,,6,1,3,8,2,5,7,4,2,7,5,6,4,,,,,,80%,4,5,,,,,,,,,,,,,,,,,,,,
,86,,6,3,7,1,5,8,2,4,8,4,5,2,,,,,,,100%,4,4,,,,,,,,,,,,,,,,,,,,
,87,,8,1,4,6,7,5,3,2,2,5,7,3,,,,,,,100%,4,4,,,,,,,,,,,,,,,,,,,,
,88,,8,4,7,1,5,2,6,3,5,2,6,3,,,,,,,100%,4,4,,,,,,,,,,,,,,,,,,,,
,90,,4,1,3,8,5,6,7,2,5,2,7,6,,,,,,,100%,4,4,,,,,,,,,,,,,,,,,,,,
,91,,6,4,2,8,3,7,1,5,7,5,3,1,,,,,,,100%,4,4,,,,,,,,,,,,,,,,,,,,
,92,,6,3,1,7,2,5,8,4,8,5,2,4,,,,,,,100%,4,4,,,,,,,,,,,,,,,,,,,,
15-Feb,93,,5,3,8,4,1,2,7,6,2,7,6,5,,,,,,,75%,3,4,,,,,,,,,,,,,,,,,,,,
,94,,1,4,3,8,5,2,7,6,2,7,5,6,,,,,,,100%,4,4,,,,,,,,,,,,,,,,,,,,
,95,,7,2,6,4,8,3,1,5,1,8,3,5,,,,,,,100%,4,4,,,,,,,,,,,,,,,,,,,,
,96,,2,4,5,1,8,6,7,3,3,6,8,7,,,,,,,100%,4,4,,,,,,,,,,,,,,,,,,,,
,97,,1,5,8,2,6,7,3,4,7,3,6,4,,,,,,,100%,4,4,,,,,,,,,,,,,,,,,,,,
,98,,7,1,5,3,8,2,6,4,1,2,6,3,8,5,7,4,,,50%,4,8,,,,,,,,,,,,,,,,,,,,
,99,,3,8,4,1,5,6,7,2,6,3,7,5,2,,,,,,80%,4,5,,,,,,,,,,,,,,,,,,,,
,100,,1,3,8,7,2,5,4,6,5,4,2,6,,,,,,,100%,4,4,,,,,,,,,,,,,,,,,,,,
,101,,5,7,3,8,2,4,1,6,4,2,6,4,7,1,,,,,67%,4,6,,,,,,,,,,,,,,,,,,,,
,102,,5,1,6,2,4,8,3,7,7,4,8,3,,,,,,,100%,4,4,,,,,,,,,,,,,,,,,,,,
,103,,7,4,8,3,6,2,5,1,6,2,5,1,,,,,,,100%,4,4,,,,,,,,,,,,,,,,,,,,
,104,,1,8,3,7,5,2,4,6,2,6,4,1,5,,,,,,80%,4,5,,,,,,,,,,,,,,,,,,,,
,105,,2,6,1,3,8,5,7,4,8,4,7,6,2,5,,,,,67%,4,6,,,,,,,,,,,,,,,,,,,,
,106,,3,5,2,7,6,4,1,8,4,1,7,6,3,5,1,7,2,4,30%,3,10,,,,,,,,,,,,,,,,,,,,
,107,,5,6,1,3,4,8,7,2,8,5,7,4,2,,,,,,80%,4,5,,,,,,,,,,,,,,,,,,,,
